Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-01-04,Groceries,UPI,Purchased groceries and household items.,2061.6,13.4
2024-01-16,Travel,UPI,Expense for travel tickets and accommodation.,1506.21,5.38
2024-01-02,Groceries,Credit Card,Purchased groceries and household items.,537.97,0.0
2024-01-13,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3245.24,0.0
2024-01-18,Travel,Credit Card,Expense for travel tickets and accommodation.,4369.21,0.0
2024-01-15,Travel,Cash,Expense for travel tickets and accommodation.,4561.7,0.0
2024-01-19,Transportation,Cash,Daily commute and fuel expenses.,3036.69,0.0
2024-01-27,Gas Bill,UPI,Monthly gas bill payment.,509.55,1.82
2024-01-13,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,564.08,0.0
2024-01-25,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",857.91,0.0
2024-01-14,Transportation,Credit Card,Daily commute and fuel expenses.,3946.43,0.0
2024-01-27,Transportation,UPI,Daily commute and fuel expenses.,4732.67,16.3
2024-01-27,Transportation,Cash,Daily commute and fuel expenses.,746.32,0.0
2024-01-12,Groceries,Credit Card,Purchased groceries and household items.,4920.82,0.0
2024-01-16,Groceries,UPI,Purchased groceries and household items.,3248.24,4.69
2024-01-13,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,472.05,0.0
2024-01-12,Travel,UPI,Expense for travel tickets and accommodation.,3118.45,18.47
2024-01-02,Subscriptions,UPI,Online streaming and magazine subscriptions.,3875.27,19.33
2024-01-20,Entertainment,Cash,"Movies, concerts, and recreational activities.",2000.45,0.0
2024-01-10,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2964.29,0.0
2024-01-21,Groceries,Cash,Purchased groceries and household items.,480.44,0.0
2024-01-09,Gifts,Debit Card,Purchased gifts for friends and family.,888.33,0.0
2024-01-21,Subscriptions,UPI,Online streaming and magazine subscriptions.,242.3,14.48
2024-01-04,Groceries,UPI,Purchased groceries and household items.,521.58,4.97
2024-01-17,Groceries,Cash,Purchased groceries and household items.,2781.42,0.0
2024-01-11,Gifts,UPI,Purchased gifts for friends and family.,4701.65,19.63
2024-01-03,Entertainment,UPI,"Movies, concerts, and recreational activities.",1412.24,15.59
2024-01-26,Groceries,Cash,Purchased groceries and household items.,4913.77,0.0
2024-01-01,Gifts,Cash,Purchased gifts for friends and family.,218.84,0.0
2024-01-23,Groceries,Debit Card,Purchased groceries and household items.,3623.32,0.0
2024-01-20,Subscriptions,UPI,Online streaming and magazine subscriptions.,3099.03,18.19
2024-01-19,Subscriptions,Cash,Online streaming and magazine subscriptions.,3822.51,0.0
2024-01-03,Gifts,Cash,Purchased gifts for friends and family.,1047.71,0.0
2024-01-03,Subscriptions,Cash,Online streaming and magazine subscriptions.,4111.27,0.0
2024-01-08,Transportation,Debit Card,Daily commute and fuel expenses.,348.41,0.0
2024-01-04,Gifts,Credit Card,Purchased gifts for friends and family.,173.96,0.0
2024-01-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,768.56,0.0
2024-01-07,Gifts,Cash,Purchased gifts for friends and family.,3133.39,0.0
2024-01-24,Entertainment,Cash,"Movies, concerts, and recreational activities.",139.28,0.0
2024-01-11,Transportation,Debit Card,Daily commute and fuel expenses.,1131.78,0.0
2024-01-24,Travel,Debit Card,Expense for travel tickets and accommodation.,2967.02,0.0
